portfolio_id,desk_id,office_id,pf_category,start_date,sold,country_code,euribor_rate,currency,libor_rate,bought,creation_date,indicator_code,sell_date,type,hedge_value,status,consumetime,createtime,soldtime
PF00001002,DSK00001001,1,1,20040720,0.00833333333333,2,0.02074,4,2.33221590909,0.00831891434477,20040720,,20040812,1,,,0.00574690371336,0.0544436552085,0.00574690371336
PF00001003,DSK00001002,0,0,20040709,0.0133841666667,1,0.02074,2,5.26961681818,0.0133339732206,20040723,,20040812,2,,,0.0135330303417,0.0135372813473,0.0230061515808
PF00001005,DSK00001004,0,0,20040723,0.00427833333333,2,0.02074,4,2.33221590909,0.00427117697671,20040723,,20040817,0,,,0.0026240912041,0.0270211888223,0.0026240912041
PF00001006,DSK00001005,0,0,20040609,0.0124858333333,2,0.02074,4,2.33221590909,0.0124627917099,20040723,,20040713,0,,,0.00621242441008,0.00197730141047,-0.0211222429943
PF00001007,DSK00001005,1,1,20040609,0.0106666666667,2,0.02074,4,2.33221590909,0.0106469821722,20040723,,20040713,1,,,0.0053072837516,0.00168921164349,-0.0180447647554
PF00001008,DSK00001006,0,0,20040707,0.0036925,2,0.02074,4,2.33221590909,0.00368570213232,20040726,,20040810,0,,,0.00183282394161,0.00135092607237,0.00415440093432
PF00001010,DSK00001009,0,0,20040706,0.00459041666667,2,0.02074,4,2.33221590909,0.00458195557706,20040726,,20040809,0,,,0.00228125764307,0.0015973819634,0.00554019713317
PF00001011,DSK00001009,1,1,20040706,0.0101666666667,2,0.02074,4,2.33221590909,0.0101479273922,20040726,,20040809,1,,,0.00505243591626,0.00353781609385,0.0122702015109
PF00001012,DSK00001010,0,0,20040419,0.0062825,2,0.02074,4,2.33221590909,0.00625046670715,20040726,,20040720,0,,,0.00319183708245,0.00123420694468,-0.0489415019309
PF00001016,DSK00001014,0,0,20040414,0.0160966666667,2,0.02074,4,2.33221590909,0.0160162127854,20040727,,20040713,0,,,0.00819466964324,0.00292096355666,-0.0526800191351
PF00001018,DSK00001016,0,0,20040611,0.00584083333333,2,0.02075,4,2.18196045455,0.00583036572203,20040804,,20040716,0,,,0.0027416152192,0.000731924534064,-0.00505034382485
PF00001019,DSK00001017,1,1,20040805,0.0101666666667,2,0.02075,4,2.18196045455,0.0101490755006,20040805,,20040908,1,,,0.00474288582916,0.0664212593521,0.00474288582916
PF00001020,DSK00001017,0,0,20040805,0.00416583333333,2,0.02075,4,2.18196045455,0.00415862528095,20040805,,20040908,0,,,0.00194341690664,0.027216383239,0.00194341690664
PF00001022,DSK00001018,0,0,20040809,0.00466416666667,2,0.02075,4,2.18196045455,0.00465613509275,20040809,,20040909,0,,,0.00237501264387,0.0303258608567,0.00237501264387
PF00001026,DSK00001022,0,0,20040511,0.00607583333333,2,0.02075,4,2.18196045455,0.00604386540033,20040810,,20040812,0,,,0.00315107374511,0.00132643398795,0.146524929148
PF00001027,DSK00001023,0,0,20040810,0.0155258333333,2,0.02075,4,2.18196045455,0.0154409646493,20040810,,20040913,0,,,0.022882080552,0.320449756036,0.022882080552
PF00001029,DSK00001024,1,1,20040810,0.00666666666667,2,0.02075,4,2.18196045455,0.00665437861786,20040810,,20040913,1,,,0.00331307273197,0.046397588116,0.00331307273197
PF00001030,DSK00001025,0,0,20040811,0.00911333333333,2,0.02075,4,2.18196045455,0.00909651539339,20040811,,20040914,0,,,0.00453441055525,0.0635016887077,0.00453441055525
PF00001031,DSK00001026,0,0,20040720,0.0044725,2,0.02075,4,2.18196045455,0.00446500988432,20040811,,20040827,0,,,0.00180689072155,0.00128551847248,0.00429136546368
PF00001033,DSK00001028,1,1,20040812,0.00333916666667,2,0.02075,4,2.18196045455,0.00333338897795,20040812,,20040915,1,,,0.00155776586213,0.021815572642,0.00155776586213
PF00001034,DSK00001029,0,0,20040812,0.00544583333333,2,0.02075,4,2.18196045455,0.00543643313691,20040812,,20040915,0,,,0.00253445725288,0.0354935472988,0.00253445725288
PF00001035,DSK00001030,0,0,20040825,0.00338833333333,2,0.02075,4,2.18196045455,0.00338188539342,20040825,,20040929,0,,,0.00168880651777,0.0243463274529,0.00168880651777
PF00001037,DSK00001031,1,1,20040906,0.0101666666667,2,0.02076,4,2.36710227273,0.0101490755006,20040906,,20041008,1,,,0.00503931619348,0.0664212593521,0.00503931619348
PF00001038,DSK00001032,0,0,20040907,0.00675,2,0.02076,4,2.36710227273,0.00673754340586,20040907,,20041011,0,,,0.00335851549895,0.047033986697,0.00335851549895
PF00001039,DSK00001033,0,0,20040909,0.0121208333333,2,0.02076,4,2.36710227273,0.0120556730936,20040909,,20041214,0,,,0.00622212024049,0.246034013155,0.00622212024049
PF00001040,DSK00001034,0,0,20040909,0.0133866666667,1,0.02076,2,5.17673318182,0.0133338434716,20040909,,20041013,2,,,0.0142420566491,0.199451425245,0.0142420566491
PF00001042,DSK00001035,1,1,20040909,0.00666666666667,2,0.02076,4,2.36710227273,0.00665513147581,20040909,,20041013,1,,,0.00311008906845,0.0435549241674,0.00311008906845
PF00001043,DSK00001036,0,0,20040910,0.00294083333333,2,0.02076,4,2.36710227273,0.00293574487227,20040910,,20041014,0,,,0.00137193804027,0.0192131659226,0.00137193804027
PF00001044,DSK00001037,0,0,20040910,0.0055725,2,0.02076,4,2.36710227273,0.00556285802234,20040910,,20041014,0,,,0.0025996457001,0.0364064722386,0.0025996457001
PF00001046,DSK00001039,0,0,20040913,0.0051775,2,0.02076,4,2.36710227273,0.00516855223159,20040913,,20041015,0,,,0.00256325442677,0.0337852558817,0.00256325442677
PF00001048,DSK00001041,1,1,20041006,0.0101666666667,2,0.02079,4,2.46919666667,0.0101477248118,20041006,,20041109,1,,,0.00510705513227,0.0715212310996,0.00510705513227
PF00001054,DSK00001044,0,0,20041011,0.01256,2,0.02079,4,2.46919666667,0.0125360125155,20041011,,20041115,0,,,0.00628266093451,0.0905726729367,0.00628266093451
PF00001052,DSK00001042,0,0,20041007,0.0104608333333,2,0.02079,4,2.46919666667,0.0104426463055,20041007,,20041110,0,,,0.00490354057751,0.0686711323389,0.00490354057751
PF00001055,DSK00001044,1,1,20041011,0.00316666666667,2,0.02079,4,2.46919666667,0.0031606188667,20041011,,20041115,1,,,0.00158400421643,0.0228354669018,0.00158400421643
PF00001056,DSK00001045,0,0,20041011,0.01926,2,0.02079,4,2.46919666667,0.0191533726484,20041011,,20050114,0,,,0.0102889717924,0.402606794609,0.0102889717924
PF00001057,DSK00001046,0,0,20041011,0.00956166666667,2,0.02079,4,2.46919666667,0.00954340549382,20041011,,20041115,0,,,0.00478285904755,0.0689510913818,0.00478285904755
PF00001058,DSK00001047,0,0,20041012,0.00346666666667,2,0.02079,4,2.46919666667,0.00346003800312,20041012,,20041116,0,,,0.00173614059094,0.0250287092611,0.00173614059094
PF00001061,DSK00001051,0,0,20041015,0.006285,2,0.02079,4,2.46919666667,0.00625045788814,20041015,,20050119,0,,,0.00329840980259,0.130425155638,0.00329840980259
PF00001062,DSK00001052,0,0,20041027,0.00333833333333,2,0.02079,4,2.46919666667,0.00333232191749,20041027,,20041129,0,,,0.00166989740896,0.0226980866111,0.00166989740896
PF00001063,DSK00001053,1,1,20040813,0.00667833333333,2,0.02079,4,2.46919666667,0.00666677795589,20041027,,20040916,1,,,0.00311553172427,0.000581748603787,-0.00258361167378
PF00001064,DSK00001054,0,0,20041027,0.00667916666667,2,0.02079,4,2.46919666667,0.00666684078987,20041027,,20041018,0,,,-0.0125545824233,0.0465404201719,-0.0125545824233
PF00001065,DSK00001055,0,0,20041027,0.00667916666667,2,0.02079,4,2.46919666667,0.00666713933318,20041027,,20041118,0,,,0.00501156804762,0.0454131712888,0.00501156804762
PF00001066,DSK00001056,0,0,20040929,0.0108441666667,2,0.02079,4,2.46919666667,0.0108260058924,20041028,,20041029,0,,,0.00554932377157,0.00236455183602,0.166479713147
PF00001070,DSK00001060,0,0,20041028,0.0335116666667,2,0.02079,4,2.46919666667,0.0333334595205,20041028,,20041015,0,,,-0.125663375841,0.672879958097,-0.125663375841
PF00001071,DSK00001061,0,0,20041015,0.0276758333333,2,0.02079,4,2.46919666667,0.0276259968053,20041028,,20041118,0,,,0.0134367990215,0.0144749443988,0.0217548174633
PF00001072,DSK00001062,0,0,20040914,0.0276941666667,2,0.02079,4,2.46919666667,0.0276430592601,20041028,,20041018,0,,,0.0137794500715,0.00438574769905,-0.0468501302432
PF00001073,DSK00001048,0,0,20041013,0.0213875,2,0.02079,4,2.46919666667,0.0213466046514,20041029,,20041117,0,,,0.0107110692951,0.00965086873801,0.0197309171226
PF00001074,DSK00001048,1,1,20041013,0.00583333333333,2,0.02079,4,2.46919666667,0.00582217933217,20041029,,20041117,1,,,0.00292139041753,0.00263222603414,0.00538150866388
PF00001075,DSK00001063,1,1,20041105,0.0101666666667,2,0.02093,4,2.80386363636,0.0101494976646,20041105,,20041208,1,,,0.00476933767769,0.0648272397481,0.00476933767769
PF00001076,DSK00001063,0,0,20041105,0.00373833333333,2,0.02093,4,2.80386363636,0.00373202020684,20041105,,20041208,0,,,0.00175370891989,0.0238372948785,0.00175370891989
PF00001079,DSK00001066,0,0,20040915,0.00751333333333,2,0.02093,4,2.80386363636,0.00750033317324,20041108,,20041015,0,,,0.00397241309749,0.000909007398826,-0.00496551637186
PF00001080,DSK00001067,0,0,20040815,0.00751333333333,2,0.02093,4,2.80386363636,0.00750033317324,20041108,,20040915,0,,,0.0038442707395,0.000577487053372,-0.00220689616527
PF00001081,DSK00001068,0,0,20041008,0.00615833333333,2,0.02093,4,2.80386363636,0.0061472702965,20041108,,20041112,0,,,0.00289756557391,0.00134748873064,0.0253536987717
PF00001082,DSK00001069,0,0,20041013,0.0293316666667,2,0.02093,4,2.80386363636,0.0291671654829,20041109,,20050117,0,,,0.015708139658,0.0230047618038,0.0218548030025
PF00001083,DSK00001070,0,0,20041109,0.00626166666667,2,0.02093,4,2.80386363636,0.00625036427248,20041109,,20041213,0,,,0.00304732301859,0.0426759234437,0.00304732301859
PF00001084,DSK00001071,0,0,20041110,0.00841733333333,2,0.02093,4,2.80386363636,0.00840358833165,20041110,,20041213,0,,,0.00381819247025,0.0518987950531,0.00381819247025
PF00001089,DSK00001075,0,0,20041112,0.006325,2,0.02093,4,2.80386363636,0.00629177714648,20041112,,20050211,0,,,0.00334674403771,0.125443859912,0.00334674403771
PF00001090,DSK00001076,0,0,20041112,0.00691916666667,2,0.02093,4,2.80386363636,0.00688228564698,20041112,,20041025,0,,,-0.0187826719823,0.139256474893,-0.0187826719823
PF00001091,DSK00001077,0,0,20041112,0.00829166666667,2,0.02093,4,2.80386363636,0.00824604360053,20041112,,20050125,0,,,0.00565170790982,0.172264959552,0.00565170790982
PF00001093,DSK00001079,1,1,20041115,0.00333916666667,2,0.02093,4,2.80386363636,0.00333369847544,20041115,,20041215,1,,,0.00167089591828,0.0206469625932,0.00167089591828
PF00001094,DSK00001080,0,0,20041115,0.02579,2,0.02093,4,2.80386363636,0.0257462606814,20041115,,20041216,0,,,0.0129341316915,0.165152248343,0.0129341316915
PF00001096,DSK00001081,0,0,20041116,0.00667833333333,2,0.02093,4,2.80386363636,0.00666737883052,20041116,,20041216,0,,,0.0033473288119,0.0413623446024,0.0033473288119
PF00001097,DSK00001082,0,0,20041116,0.0269933333333,2,0.02093,4,2.80386363636,0.0269506349208,20041116,,20041215,0,,,0.0134971069955,0.161221963737,0.0134971069955
PF00001098,DSK00001083,0,0,20040810,0.03423,2,0.02093,4,2.80386363636,0.0341669070134,20041122,,20040913,0,,,0.0170109719421,0.00229065784788,-0.00826247208618
PF00001101,DSK00001086,0,0,20041122,0.00751333333333,2,0.02093,4,2.80386363636,0.00750018966835,20041122,,20041215,0,,,0.00523860441107,0.0496282496724,0.00523860441107
PF00001102,DSK00001087,0,0,20041122,0.0342226666667,2,0.02093,4,2.80386363636,0.0341667830997,20041122,,20041213,0,,,0.0243944922601,0.211006870366,0.0243944922601
PF00001103,DSK00001088,0,0,20041125,0.003195875,2,0.02093,4,2.80386363636,0.00319003785134,20041125,,20041230,0,,,0.00152883166376,0.0220400832864,0.00152883166376
PF00001106,DSK00001090,1,1,20041206,0.0101666666667,2,0.02169,4,2.75296217391,0.0101462057166,20041206,,20050110,1,,,0.0053590117597,0.077257076967,0.0053590117597
PF00001109,DSK00001093,0,0,20041209,0.0061725,2,0.02169,4,2.75296217391,0.00616075486377,20041209,,20050113,0,,,0.00307621703958,0.0443476422988,0.00307621703958
PF00001110,DSK00001094,0,0,20041210,0.00473583333333,2,0.02169,4,2.75296217391,0.0047267894101,20041210,,20050114,0,,,0.00236873121054,0.0341483201852,0.00236873121054
PF00001111,DSK00001095,0,0,20041210,0.0121191666667,2,0.02169,4,2.75296217391,0.0120556831173,20041210,,20050311,0,,,0.00639509156619,0.239703114881,0.00639509156619
PF00001116,DSK00001100,1,1,20041213,0.00309,2,0.02169,4,2.75296217391,0.00308371068674,20041213,,20050117,1,,,0.00164725995704,0.0237473801127,0.00164725995704
PF00001117,DSK00001101,0,0,20041213,0.0250291666667,2,0.02169,4,2.75296217391,0.0249811435435,20041213,,20050113,0,,,0.0142008933603,0.181327167751,0.0142008933603
PF00001118,DSK00001102,0,0,20041214,0.0311383333333,2,0.02169,4,2.75296217391,0.0310767340704,20041214,,20050117,0,,,0.0166082379369,0.232588369006,0.0166082379369
PF00001121,DSK00001104,1,1,20041214,0.00668083333333,2,0.02169,4,2.75296217391,0.00666720482662,20041214,,20050118,1,,,0.00356949836409,0.0514589297829,0.00356949836409
PF00001122,DSK00001105,0,0,20041214,0.0237066666667,2,0.02169,4,2.75296217391,0.0236542265634,20041214,,20050120,0,,,0.0129923817677,0.198004935448,0.0129923817677
PF00001124,DSK00001106,0,0,20041213,0.0342325,2,0.02169,4,2.75296217391,0.0341673324606,20041215,,20050113,0,,,0.019270659983,0.123030787809,0.0205996710164
